PARK,BOROUGH,SIZE (ACRES),CATEGORY,MURDER,RAPE,ROBBERY,FELONY ASSAULT,BURGLARY,GRAND LARCENY,GRAND LARCENY OF MOTOR VEHICLE,TOTAL
PELHAM BAY PARK,BRONX        ,2771.75,ONE ACRE OR LARGER,0,1,0,0,0,1,0,2
VAN CORTLANDT PARK,BRONX        ,1146.43,ONE ACRE OR LARGER,0,0,1,0,1,1,0,3
ROCKAWAY BEACH AND BOARDWALK,BRONX        ,1072.56,ONE ACRE OR LARGER,0,1,1,2,0,10,0,14
FRESHKILLS PARK,BRONX        ,913.32,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
FLUSHING MEADOWS CORONA PARK,BRONX        ,897.69,ONE ACRE OR LARGER,0,0,6,1,0,9,0,16
LATOURETTE PARK & GOLF COURSE,BRONX        ,843.97,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
MARINE PARK,BRONX        ,798,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
BELT PARKWAY/SHORE PARKWAY,BRONX        ,760.43,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
BRONX PARK,BRONX        ,718.37,ONE ACRE OR LARGER,0,0,2,0,0,2,0,4
FRANKLIN D. ROOSEVELT BOARDWALK AND BEACH,BRONX        ,644.35,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
ALLEY POND PARK,BRONX        ,635.51,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
PROSPECT PARK,BRONX        ,526.25,ONE ACRE OR LARGER,0,0,7,3,0,11,0,21
FOREST PARK,BRONX        ,506.86,ONE ACRE OR LARGER,0,0,0,0,0,1,0,1
GRAND CENTRAL PARKWAY,BRONX        ,460.16,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
FERRY POINT PARK,BRONX        ,413.8,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
CONEY ISLAND BEACH & BOARDWALK,BRONX        ,399.2,ONE ACRE OR LARGER,0,0,6,3,0,18,0,27
CUNNINGHAM PARK,BRONX        ,358,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
RICHMOND PARKWAY,BRONX        ,350.98,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
CROSS ISLAND PARKWAY,BRONX        ,326.9,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
GREAT KILLS PARK,BRONX        ,315.09,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
WOLFE'S POND PARK,BRONX        ,302.69,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
CONFERENCE HOUSE PARK,BRONX        ,286.38,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
RANDALL'S ISLAND PARK,BRONX        ,256.11,ONE ACRE OR LARGER,0,0,0,0,1,51,0,52
ROCKAWAY COMMUNITY PARK,BRONX        ,255.4,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
KISSENA PARK,BRONX        ,237.15,ONE ACRE OR LARGER,0,0,0,1,0,2,0,3
RIVERSIDE PARK,BRONX        ,235.77,ONE ACRE OR LARGER,0,0,7,0,2,9,0,18
HUTCHINSON RIVER PARKWAY,BRONX        ,229.14,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
BLUE HERON PARK,BRONX        ,217.45,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
DYKER BEACH PARK,BRONX        ,216.66,ONE ACRE OR LARGER,0,0,0,1,0,1,0,2
WILLOWBROOK PARK,BRONX        ,214.95,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
STATEN ISLAND INDUSTRIAL PARK,BRONX        ,210.93,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
SILVER LAKE PARK,BRONX        ,205.98,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
BRONX RIVER PARKWAY,BRONX        ,205.65,ONE ACRE OR LARGER,0,0,1,0,0,1,0,2
SOUNDVIEW PARK,BRONX        ,205.31,ONE ACRE OR LARGER,0,0,0,1,0,0,0,1
BELT PARKWAY,BRONX        ,202.65,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
WILLOWBROOK PARKWAY,BRONX        ,198.48,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
INWOOD HILL PARK,BRONX        ,196.4,ONE ACRE OR LARGER,0,0,0,1,0,1,0,2
CLOVE LAKES PARK,BRONX        ,193.42,ONE ACRE OR LARGER,0,1,0,0,0,0,0,1
FORT WASHINGTON PARK,BRONX        ,184.14,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
IDLEWILD PARK,BRONX        ,180.85,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
WARDS ISLAND PARK,BRONX        ,176.58,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
SOUTH SHORE COUNTRY CLUB,BRONX        ,173.99,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
SAW MILL CREEK MARSH,BRONX        ,171.78,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
BLOOD ROOT VALLEY,BRONX        ,161.24,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
